latitude,longitude,tipo_origem
-13.979357872646961,-39.58673336175806,cacau_agua
-13.938664190276349,-39.65949689977174,cacau_agua
-13.930040363548798,-39.68240393951678,cacau_agua
-13.973159497186536,-39.61395231486688,cacau_agua
-13.966422132555639,-39.5953571884856,cacau_agua
-13.910097764241346,-39.69938209838664,cacau_agua
-13.988251193959744,-39.59104527512183,cacau_agua
-13.898240002490969,-39.62419310910584,cacau_agua
-13.981783323914083,-39.55762794655258,cacau_agua
-13.949174479100545,-39.656532459334144,cacau_agua
-13.915218161360826,-39.61880321740112,cacau_agua
-13.940011663202526,-39.637937332952866,cacau_agua
-13.919799569309838,-39.705580473847064,cacau_agua
-13.91494866677559,-39.63524238710051,cacau_agua
-13.898778991661441,-39.58754184551376,cacau_agua
-13.961032240850923,-39.652220545970366,cacau_agua
-13.997414009857764,-39.684829390783904,cacau_agua
-13.989329172300689,-39.561400870745885,cacau_agua
-13.982861302255028,-39.61395231486688,cacau_agua
-13.975584948453658,-39.60721495023598,cacau_agua
-13.919799569309838,-39.60721495023598,cacau_agua
-13.910097764241346,-39.586194372587585,cacau_agua
-13.893119605371488,-39.57514509459291,cacau_agua
-14.005498847414838,-39.58296043756475,cacau_agua
-13.942437114469648,-39.55601097904117,cacau_agua
-14.018973576676633,-39.63093047373673,cacau_agua
-13.980974840158378,-39.685368379954376,cacau_agua
-13.933274298571629,-39.68213444493155,cacau_agua
-13.952408414123376,-39.608831917747395,cacau_agua
-13.969925562163706,-39.59913011267891,cacau_agua
-13.911445237167527,-39.697765130875226,cacau_agua